ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
205,GREENWOOD PARK,0.132936875577233,0.036042196438321,0.099295159448201,0.081507809888472
206,SENOKO WEST,0.230049080179584,0.185929751777746,0.230719921327728,0.183369615510967
207,GALI BATU,0.259423971842659,0.271961753730086,0.29219453904315,0.306728212260905
208,KRANJI,0.087327317552976,0.220139589772788,0.116042909864966,0.260805114741475
209,RESERVOIR VIEW,0.109788515762839,0.111058549806474,0.092870705602901,0.09511911971091
210,PANG SUA,0.104959732368002,0.100896525497036,0.084162830830221,0.083051628608684
211,TIONG BAHRU STATION,0.560651006208118,0.553321317371822,0.557555340602961,0.550752729990323
212,MARITIME SQUARE,0.630149714180219,0.610118831957022,0.650493083610409,0.615365318585933
213,REDHILL,0.399589545249842,0.446919810086449,0.371282401420362,0.420436989866279
214,BUKIT MERAH,0.335193038912142,0.321981954420413,0.316016185383127,0.296698033173294
215,ALEXANDRA HILL,0.356262235547803,0.376278517800151,0.34336754424764,0.380884512438918
216,HENDERSON HILL,0.277838223893324,0.280267153034098,0.277880500391376,0.275892730377692
217,TELOK BLANGAH DRIVE,0.262625025723096,0.322664250252958,0.235781094360483,0.282476327657947
218,TIONG BAHRU,0.235503137256149,0.222949275872166,0.256359657508648,0.242981472165307
219,TELOK BLANGAH RISE,0.230157005369775,0.215380884346496,0.224705419228074,0.22765850550746
220,KAMPONG TIONG BAHRU,0.234083805164412,0.228412166323792,0.235694257379142,0.235404979399898
221,TELOK BLANGAH WAY,0.223154863103456,0.177327362536725,0.228026017836681,0.157732269285837
222,BUKIT HO SWEE,0.243719237386364,0.255442442166104,0.245269770287462,0.254945950360058
223,DEPOT ROAD,0.178967091266946,0.197828369140688,0.157238653079287,0.168548237843876
224,PASIR PANJANG 2,0.304158184022679,0.218645958353141,0.214626647628508,0.161260436017923
225,CITY TERMINALS,0.160549207612402,0.170719672407682,0.14588357215499,0.168319957589399
226,ALEXANDRA NORTH,0.159142148147731,0.149064651933484,0.1453351522876,0.158882115167198
227,SENTOSA,0.076085480303664,0.103968583346571,0.177124546049573,0.205280163425288
228,YISHUN CENTRAL,0.546265037129199,0.517493477330839,0.570412469842311,0.554433043055869
229,YISHUN WEST,0.688903828485595,0.663571507384404,0.700950390359262,0.675383147228221
230,YISHUN EAST,0.21450160866548,0.216033260533987,0.195884110301538,0.212478597078932
